Pattern,Print,Fabric,Native_Product_Id,Primary_Colour
Striped,Striped,Silk Blend,14001142,Grey
Printed,Floral,Art Silk,14630942,Turquoise Blue
Striped,Solid,Linen,15372546,Green
Woven,Ethnic Motifs,Pure Cotton,15372544,Multi-Colour
Woven,Checked,Pure Silk,15372534,White
Embroidered,Geometric Print,Poly Chiffon,10814216,White
Woven,Ethnic Motifs,Cotton Silk,13661680,Turquoise Blue
Solid,Solid,Cotton Silk,10358153,White
Printed,Ethnic Motifs,Pure Cotton,14085842,Pink
Woven,Floral,Silk Blend,14129212,Navy Blue
Woven,Ethnic Motifs,Silk Blend,14129244,Teal
Embroidered,Ethnic Motifs,Net,14016192,Peach
Woven,Ethnic Motifs,Cotton Silk,14074884,Grey
Striped,Striped,Viscose Rayon,14301624,Green
Woven,Solid,Pure Silk,15372540,White
Checked,Checked,Silk Blend,15038412,Beige
Woven,Solid,Pure Cotton,15372568,White
Woven,Geometric Print,Pure Silk,15372564,White
Printed,Ethnic Motifs,Cotton Blend,11524970,Green
Embroidered,Floral,Silk Blend,12762576,Brown
Printed,Ethnic Motifs,Cotton Blend,13675984,Navy Blue
Woven,Ethnic Motifs,Cotton Silk,13441466,Orange
Embroidered,Ethnic Motifs,Silk Blend,14001076,Cream
Embroidered,Floral,Net,14001040,Navy Blue
Dyed,Bandhani,Cotton Blend,14001024,Navy Blue
Woven,Checked,Organza,14001156,Red
Solid,Solid,Pure Cotton,15372554,Grey
Self-Checked,Checked,,996696,Maroon
Embroidered,Ethnic Motifs,Poly Chiffon,11414738,Navy Blue
Woven,Ethnic Motifs,Cotton Silk,13661672,Lime Green
Printed,Geometric Print,Pure Cotton,14738022,Navy Blue
Embroidered,Ethnic Motifs,Pure Cotton,12967736,Cream
Striped,Striped,Art Silk,14197520,Maroon
Woven,Ethnic Motifs,Cotton Silk,14057028,Grey
Embroidered,Floral,Net,14001062,Gold
Checked,Checked,Silk Blend,15038412,Beige
Woven,Solid,Pure Silk,15372548,Green
Printed,Ethnic Motifs,Cotton Blend,11524974,Lavender
Woven,Ethnic Motifs,Cotton Silk,13661694,Red
Woven,Ethnic Motifs,Cotton Silk,13661744,Orange
Embroidered,Ethnic Motifs,Net,14001012,Gold
Embroidered,Ethnic Motifs,Net,14016146,Coral
Printed,Floral,Cotton Blend,14001132,Off-White
Striped,Striped,Poly Georgette,14301606,Blue
Checked,Checked,Viscose Rayon,14430838,Multi-Colour
Printed,Bandhani,Poly Chiffon,14447436,Red
Embroidered,Ethnic Motifs,Net,14159482,Red
Woven,Striped,Art Silk,14600604,Red
Solid,Solid,Pure Cotton,15372536,White
Checked,Checked,Pure Cotton,15168108,White
Striped,Striped,Silk Blend,13418686,Black
Woven,Ethnic Motifs,Pure Cotton,15372562,Blue
Woven,Floral,Silk Blend,7740201,Blue
Printed,Leheriya,Poly Crepe,12025066,Red
Woven,Ethnic Motifs,Cotton Silk,13441474,Orange
Printed,Ethnic Motifs,Pure Cotton,14129208,Multi-Colour
Embroidered,Ethnic Motifs,Net,14159464,Pink
Checked,Checked,Silk Blend,15038412,Beige
Printed,Ethnic Motifs,Viscose Rayon,15219342,Peach
Checked,Checked,Cotton Silk,15292290,Red
Embroidered,Ethnic Motifs,Cotton Silk,11422354,Black
Embroidered,Floral,Organza,7241433,White
Embroidered,Floral,Poly Chiffon,7241429,Blue
Embroidered,Floral,Pure Cotton,10581780,Red
Printed,Ethnic Motifs,Cotton Blend,14676516,Green
Embroidered,Ethnic Motifs,Poly Chiffon,7740205,Blue
Embroidered,Geometric Print,Poly Chiffon,10814116,Blue
Printed,Floral,Silk Blend,14498496,Green
Embroidered,Ethnic Motifs,Silk Blend,12967820,Black
Woven,Ethnic Motifs,Cotton Silk,13661596,Blue
Embroidered,Ethnic Motifs,Net,14016162,Pink
Printed,Ethnic Motifs,Cotton Blend,14001004,Off-White
Embroidered,Floral,Organza,14447502,Sea Green
Embroidered,Floral,Net,14159458,Peach
Embroidered,Ethnic Motifs,Net,15043188,Red
Woven,Striped,Linen,15372532,Orange
Woven,Ethnic Motifs,Pure Silk,15372572,Peach
